date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2024-06-23,180.0,180.7,176.0,177.0,-0.45,68819,12166811.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-24,177.0,179.0,175.1,175.9,-0.62,65835,11581574.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-25,178.0,178.0,174.5,175.5,-0.23,76268,13345679.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-26,176.0,176.0,171.0,173.0,-1.42,110410,19079194.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-27,173.0,174.0,170.0,173.4,0.23,82663,14185072.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-06-30,174.0,175.0,172.2,172.5,-0.52,53993,9349835.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-01,172.0,173.9,171.0,173.9,0.81,76610,13191015.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-02,177.3,188.0,171.0,181.5,4.37,167185,29914861.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-03,182.9,183.6,174.4,180.6,-0.5,151772,27194792.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-04,181.0,182.4,178.4,180.0,-0.33,107015,19317995.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-07,183.6,183.6,179.2,181.4,0.78,149397,27046234.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-08,181.0,184.0,179.5,183.0,0.88,108356,19579700.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-09,186.6,186.6,179.1,182.3,-0.38,179442,32342265.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-10,185.9,185.9,180.5,184.0,0.93,203192,37270148.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-11,187.6,190.0,182.8,189.9,3.21,192251,35968543.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-14,193.0,204.7,192.1,200.0,5.32,368225,72103484.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-15,204.0,204.0,194.1,194.2,-2.9,326661,64384044.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-16,196.0,203.0,193.6,201.0,3.5,225370,44710379.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-17,205.0,205.0,200.0,204.9,1.94,270536,54937898.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-18,208.9,224.2,203.0,218.3,6.54,628039,134003462.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-21,218.0,225.3,214.0,224.9,3.02,654503,145382993.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-22,227.0,227.0,214.0,220.1,-2.13,450025,99049214.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-23,221.0,224.9,216.2,223.1,1.36,566972,125171135.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-24,223.0,230.0,218.0,221.0,-0.94,629002,140907226.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-25,221.0,239.0,221.0,235.0,6.33,699280,158912426.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-28,239.7,258.5,239.7,258.5,10.0,1002360,256918498.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-29,263.6,284.3,253.0,253.0,-2.13,1288357,343517863.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-30,254.0,257.9,243.0,254.0,0.4,740562,185560047.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-07-31,259.0,261.0,253.0,259.0,1.97,489245,125824683.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-01,260.0,264.1,255.0,255.9,-1.2,379256,97718383.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-05,255.0,255.0,245.7,249.4,-2.54,706240,176173569.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-06,245.2,248.0,226.1,230.0,-7.78,694815,164391071.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-07,227.5,239.0,223.2,238.5,3.7,512810,119418859.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-08,242.1,243.0,234.0,236.5,-0.84,310600,73831904.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-11,241.0,243.6,235.5,243.6,3.0,786878,189189731.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-12,245.0,258.9,245.0,253.8,4.19,653658,164696716.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-13,258.0,260.0,253.0,257.9,1.62,560415,144171001.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-14,255.0,260.0,250.1,259.1,0.47,463875,118746972.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-15,264.0,285.0,260.0,283.0,9.22,1270505,353804941.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-18,288.0,302.0,283.5,287.0,1.41,1427895,421625751.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-21,287.0,292.0,279.0,287.0,0.0,709266,202921015.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-22,287.0,300.0,284.0,284.7,-0.8,460097,132406553.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-25,288.0,288.0,272.0,275.0,-3.41,593298,163567731.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-27,275.0,275.0,258.0,258.0,-6.18,767736,201518906.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-28,263.1,267.0,255.0,259.0,0.39,428646,112209874.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-08-29,264.1,264.1,248.2,252.0,-2.7,345964,87273761.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-01,249.0,257.0,245.0,245.1,-2.74,318196,79253033.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-02,245.0,269.6,243.1,264.5,7.92,524530,134450373.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-03,268.0,270.0,259.0,259.7,-1.81,266600,70218598.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-04,264.8,264.8,246.0,249.0,-4.12,362314,90706827.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-05,253.9,253.9,242.5,245.9,-1.24,237948,58582144.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-08,245.9,252.1,241.5,243.0,-1.18,208968,51414699.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-09,244.0,244.0,234.3,236.0,-2.88,303514,72009006.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-10,239.0,242.8,235.0,236.0,0.0,271798,64836899.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-11,236.0,240.0,234.0,236.0,0.0,143345,33841514.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-12,240.7,243.0,235.0,242.9,2.92,300713,71979982.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-15,247.7,252.0,238.0,240.0,-1.19,274734,67510711.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-16,236.0,245.0,233.8,234.0,-2.5,139654,32850611.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-18,235.0,241.9,233.0,238.1,1.75,255350,60864579.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-22,242.8,247.6,240.0,244.0,2.48,170258,41271181.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-23,248.8,248.8,237.0,238.0,-2.46,130133,31168676.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-24,235.1,241.7,233.0,234.9,-1.3,169830,40092093.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-25,235.0,243.0,232.3,243.0,3.45,231718,55077607.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-26,247.8,247.8,234.0,238.0,-2.06,114688,27311494.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-29,234.1,240.0,231.0,235.0,-1.26,119056,28054805.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-09-30,233.0,240.1,233.0,238.0,1.28,114806,27400610.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-01,240.0,249.9,240.0,249.9,5.0,267153,65472520.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-02,254.8,254.8,240.5,245.5,-1.76,276956,68446741.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-06,246.0,250.0,244.0,249.0,1.43,177497,43919290.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-07,252.0,257.0,249.0,253.1,1.65,218332,55423381.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-08,255.0,258.1,250.5,251.1,-0.79,222852,56573993.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-09,250.1,254.0,250.1,253.7,1.04,136698,34465766.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-15,255.1,258.9,253.9,258.4,1.85,129559,33259648.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-16,261.5,266.7,259.5,263.0,1.78,199994,52519751.56,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-17,265.0,271.0,263.0,266.5,1.33,362357,97082880.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-20,262.0,271.0,257.0,263.5,-1.13,441438,116506150.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-21,264.0,264.0,256.1,257.0,-2.47,293514,76027351.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-22,258.0,262.0,255.1,260.5,1.36,206907,53756737.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-23,265.7,267.0,255.4,256.1,-1.69,306366,79658168.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-24,258.0,258.0,251.0,253.0,-1.21,158059,40015238.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-27,253.0,257.0,248.1,250.0,-1.19,134338,33597882.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-28,254.0,254.0,248.7,254.0,1.6,102439,25767988.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-29,254.0,257.9,254.0,255.9,0.75,118277,30136282.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-10-30,260.0,260.0,252.4,254.0,-0.74,120003,30524037.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-05,257.0,257.0,253.5,254.0,0.0,49920,12703234.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-06,255.0,261.1,253.2,256.8,1.1,105915,27104099.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-10,258.9,261.0,255.1,260.3,1.36,209467,54384038.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-11,258.0,264.0,258.0,260.6,0.12,252111,65975506.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-12,261.0,264.0,257.3,259.8,-0.31,135585,35342217.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-13,259.9,261.0,254.5,255.0,-1.85,123507,31673283.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-14,254.0,260.0,254.0,256.6,0.63,148677,38129234.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-17,258.0,260.0,257.0,257.2,0.23,134999,34946218.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-19,256.4,258.0,254.6,256.0,-0.47,212652,54425882.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-20,253.0,256.9,253.0,256.9,0.35,141408,36023300.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-21,258.5,259.8,254.1,255.0,-0.74,360990,92227100.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-24,242.0,243.0,236.1,236.8,-2.03,141904,33843700.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-25,241.5,241.5,235.0,235.5,-0.55,93907,22188710.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-26,230.8,242.9,230.8,239.0,1.49,140447,33366645.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-27,242.0,242.0,238.0,239.0,0.0,99121,23743639.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-11-28,239.0,241.0,236.0,237.0,-0.84,97490,23200679.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-01,237.0,237.0,232.0,233.0,-1.69,75953,17741151.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-02,237.6,237.6,229.0,229.4,-1.55,148285,34326171.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-03,230.0,232.0,228.0,228.5,-0.39,120563,27609909.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-04,233.0,233.0,225.5,228.2,-0.13,147819,33768289.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-05,228.3,230.0,225.4,225.8,-1.05,137659,31336776.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-08,226.0,226.0,220.0,221.9,-1.73,197930,44100818.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-09,224.9,224.9,220.0,221.0,-0.41,97044,21564456.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-10,222.0,224.7,220.0,221.7,0.32,76310,16906155.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-11,224.0,235.0,221.0,232.5,4.87,168543,38268064.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-12,237.1,237.1,226.0,226.0,-2.8,166841,38264412.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-16,227.0,227.9,222.5,224.0,-0.88,95717,21412232.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-17,224.0,239.0,220.1,228.0,1.79,117092,26555865.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-18,230.0,230.0,223.9,224.3,-1.62,71990,16256768.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-19,226.0,226.3,221.0,222.0,-1.03,72133,16065850.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-22,217.6,223.9,217.6,218.5,-1.58,94349,20702193.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-23,220.5,231.8,218.0,229.5,5.03,76892,17085032.05,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-24,230.0,230.5,225.5,227.0,-1.09,88682,20208874.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-26,227.0,238.0,225.0,233.0,2.64,159743,37107804.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-12-29,233.1,237.5,229.0,229.5,-1.5,131859,30675016.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
